model,dataset,n,avg_search_turns,avg_query_repetition,avg_answer_f1
ASearcher/7b_e5,2wikimultihopqa,12576,2.815,0.3657,0.2586
ASearcher/7b_e5,bamboogle,125,2.04,0.3151,0.3189
ASearcher/7b_e5,browsecomp,830,4.149,0.2955,0.0337
ASearcher/7b_e5,hotpotqa,7405,2.422,0.3572,0.3112
ASearcher/7b_e5,musique,2459,2.639,0.2814,0.0
ASearcher/7b_e5,totalrecall-e-commerce,900,3.227,0.248,0.0037
ASearcher/7b_e5,totalrecall-wiki1,169,4.278,0.2677,0.0
ASearcher/7b_e5,totalrecall-wiki2,1258,4.28,0.3184,0.0374
ASearcher/7b_e5,trec_rag_2024,301,1.346,0.1774,0.0
ReSearch/7b_e5,2wikimultihopqa,12576,2.598,0.3444,0.3709
ReSearch/7b_e5,bamboogle,125,2.208,0.2454,0.4386
ReSearch/7b_e5,hotpotqa,7405,2.344,0.3237,0.3982
ReSearch/7b_e5,musique,4834,2.793,0.2229,0.2052
ReSearch/7b_e5,trec_rag_2024,301,3.163,0.525,0.0
Search_o1/7b_e5,2wikimultihopqa,12576,0.0,0.0,0.1568
Search_o1/7b_e5,bamboogle,125,0.0,0.0,0.1373
Search_o1/7b_e5,browsecomp,830,0.0,0.0,0.009
Search_o1/7b_e5,hotpotqa,7405,0.0,0.0,0.2117
Search_o1/7b_e5,musique,2417,0.0,0.0,0.0635
Search_o1/7b_e5,totalrecall-e-commerce,900,0.0,0.0,0.0
Search_o1/7b_e5,totalrecall-wiki1,169,0.0,0.0,0.0178
Search_o1/7b_e5,totalrecall-wiki2,1258,0.0,0.0,0.0246
Search_o1/7b_e5,trec_rag_2024,301,0.0,0.0,0.0
Search_r1/14b_e5,2wikimultihopqa,12576,3.044,0.3118,0.3981
Search_r1/14b_e5,bamboogle,125,2.552,0.3193,0.5235
Search_r1/14b_e5,browsecomp,830,3.17,0.4464,0.088
Search_r1/14b_e5,hotpotqa,7405,2.576,0.3684,0.495
Search_r1/14b_e5,musique,4918,3.121,0.2813,0.0
Search_r1/14b_e5,totalrecall-e-commerce,900,2.578,0.7663,0.0156
Search_r1/14b_e5,totalrecall-wiki1,169,3.249,0.5485,0.0947
Search_r1/14b_e5,totalrecall-wiki2,1258,2.736,0.621,0.0493
Search_r1/14b_e5,trec_rag_2024,301,2.226,0.7484,0.0
Search_r1/3b_e5,2wikimultihopqa,12536,2.592,0.4519,0.3073
Search_r1/3b_e5,bamboogle,125,2.376,0.4794,0.3319
Search_r1/3b_e5,browsecomp,1660,3.171,0.5007,0.0575
Search_r1/3b_e5,hotpotqa,7404,2.466,0.4184,0.3601
Search_r1/3b_e5,musique,4834,2.883,0.4436,0.1275
Search_r1/3b_e5,totalrecall-e-commerce,900,2.611,0.7699,0.0048
Search_r1/3b_e5,totalrecall-wiki1,169,3.325,0.5893,0.0118
Search_r1/3b_e5,totalrecall-wiki2,1258,2.763,0.6719,0.0199
Search_r1/3b_e5,trec_rag_2024,301,2.143,0.4759,0.0
Search_r1/7b_bm25,2wikimultihopqa,12576,4.688,0.6025,0.4558
Search_r1/7b_bm25,bamboogle,125,4.824,0.6793,0.3377
Search_r1/7b_bm25,browsecomp,819,3.552,0.6532,0.0051
Search_r1/7b_bm25,hotpotqa,7405,4.608,0.6667,0.5383
Search_r1/7b_bm25,musique,2417,4.665,0.5456,0.2381
Search_r1/7b_bm25,totalrecall-e-commerce,900,4.206,0.8439,0.0037
Search_r1/7b_bm25,totalrecall-wiki1,169,4.254,0.6781,0.0
Search_r1/7b_bm25,totalrecall-wiki2,1258,4.315,0.7563,0.0347
Search_r1/7b_bm25,trec_rag_2024,301,3.1,0.7202,0.0
Search_r1/7b_bm25_rerank,2wikimultihopqa,12576,4.092,0.5553,0.4684
Search_r1/7b_bm25_rerank,bamboogle,125,4.168,0.585,0.4197
Search_r1/7b_bm25_rerank,browsecomp,818,3.814,0.6975,0.0209
Search_r1/7b_bm25_rerank,hotpotqa,7405,4.033,0.6021,0.5871
Search_r1/7b_bm25_rerank,musique,4728,4.089,0.4534,0.1142
Search_r1/7b_bm25_rerank,totalrecall-e-commerce,900,3.74,0.8557,0.007
Search_r1/7b_bm25_rerank,totalrecall-wiki1,169,4.083,0.6751,0.0059
Search_r1/7b_bm25_rerank,totalrecall-wiki2,1257,4.006,0.7623,0.0618
Search_r1/7b_bm25_rerank,trec_rag_2024,301,3.781,0.649,0.0
Search_r1/7b_e5,2wikimultihopqa,12576,4.408,0.6282,0.2295
Search_r1/7b_e5,bamboogle,125,4.392,0.6024,0.3196
Search_r1/7b_e5,hotpotqa,7405,4.282,0.66,0.3462
Search_r1/7b_e5,musique,2459,4.267,0.4919,0.0
Search_r1/7b_e5,totalrecall-e-commerce,900,3.99,0.8347,0.0
Search_r1/7b_e5,totalrecall-wiki1,169,3.988,0.6622,0.0
Search_r1/7b_e5,totalrecall-wiki2,1258,3.995,0.7554,0.0
Search_r1/7b_e5,trec_rag_2024,301,4.093,0.6339,0.0
